DATAFLOW,LAST UPDATE,freq,unit,s_adj,indic,State,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2013-01,6.5,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2013-02,6.6,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2013-03,6.8,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2013-04,5.4,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2013-05,5.1,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2013-06,5.0,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2013-07,5.6,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2013-08,5.2,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2013-09,5.5,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2013-10,5.5,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2013-11,5.9,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2013-12,5.6,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2014-01,6.9,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2014-02,6.7,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2014-03,7.0,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2014-04,5.5,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2014-05,5.4,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2014-06,6.1,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2014-07,5.8,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2014-08,5.4,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2014-09,5.9,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2014-10,5.7,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2014-11,6.0,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2014-12,6.0,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2015-01,6.5,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2015-02,6.9,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2015-03,6.9,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2015-04,6.2,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2015-05,6.1,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2015-06,5.8,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2015-07,5.7,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2015-08,5.6,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2015-09,5.9,
